Date,Close
2018-01-02,2700.0
2018-01-03,2686.9120817688636
2018-01-04,2668.889839041175
2018-01-05,2673.8761994336924
2018-01-08,2700.4830795861153
2018-01-09,2696.836442816678
2018-01-10,2705.774584609362
2018-01-11,2723.0411151548487
2018-01-12,2745.3361652892772
2018-01-15,2718.6159025604034
2018-01-16,2734.0153562690803
2018-01-17,2734.3731172017965
2018-01-18,2716.6925602266024
2018-01-19,2696.79505328963
2018-01-22,2690.750660484906
2018-01-23,2661.492061648775
2018-01-24,2618.6974216202307
2018-01-25,2621.462864751066
2018-01-26,2645.466059092344
2018-01-29,2639.1202334453205
2018-01-30,2662.2443281955098
2018-01-31,2651.0793407823785
2018-02-01,2622.1984702277373
2018-02-02,2578.183659747506
2018-02-05,2555.1652674598017
2018-02-06,2598.4837933914664
2018-02-07,2592.6251941134947
2018-02-08,2540.6186474341853
2018-02-09,2541.4269658216344
2018-02-12,2531.1427334083805
2018-02-13,2518.3896349154484
2018-02-14,2500.9952435595164
2018-02-15,2477.9640237030753
2018-02-16,2468.385425238138
2018-02-19,2418.917421558376
2018-02-20,2388.4773338158802
2018-02-21,2380.3643233891275
2018-02-22,2401.880255218502
2018-02-23,2415.1716205148127
2018-02-26,2467.2474703363305
2018-02-27,2502.1499832908235
2018-02-28,2450.722732359554
2018-03-01,2466.207354061556
2018-03-02,2494.57014299596
2018-03-05,2501.8077985156
2018-03-06,2450.549700279844
2018-03-07,2441.249514551591
2018-03-08,2419.494588063698
2018-03-09,2430.4511851989932
2018-03-12,2463.231876585824
2018-03-13,2482.1214582665057
2018-03-14,2453.9503392169945
2018-03-15,2476.8165810799396
2018-03-16,2477.8296142585427
2018-03-19,2506.6387514132903
2018-03-20,2498.9162022557293
2018-03-21,2505.2340093025987
2018-03-22,2504.0141393452795
2018-03-23,2498.1756753891254
2018-03-26,2541.6688484512083
2018-03-27,2567.8610475712244
2018-03-28,2580.4606730183764
2018-03-29,2540.441205266387
2018-03-30,2520.626922962427
2018-04-02,2521.168284223786
2018-04-03,2537.906601712913
2018-04-04,2488.997970461133
2018-04-05,2512.304239938
2018-04-06,2480.166998064643
2018-04-09,2445.777807159481
2018-04-10,2474.443349004668
2018-04-11,2456.88873658249
2018-04-12,2465.5701882993553
2018-04-13,2492.7264125825436
2018-04-16,2508.879350372458
2018-04-17,2476.7681422997825
2018-04-18,2458.952125173453
2018-04-19,2440.4465312085913
2018-04-20,2449.6250733921756
2018-04-23,2457.295756713976
2018-04-24,2486.807080251086
2018-04-25,2499.68166131957
2018-04-26,2525.5305663839576
2018-04-27,2518.5538951653616
2018-04-30,2508.0433049782655
2018-05-01,2463.254602256692
2018-05-02,2443.592200423932
2018-05-03,2395.8944866571296
2018-05-04,2372.2762886803453
2018-05-07,2412.0795873772518
2018-05-08,2417.7602621721126
2018-05-09,2418.5914111971315
2018-05-10,2414.954658274921
2018-05-11,2400.644326635957
2018-05-14,2397.8434206840684
2018-05-15,2425.345394685078
2018-05-16,2395.997332541292
2018-05-17,2377.963445361678
2018-05-18,2352.6888996824496
2018-05-21,2343.0408967714066
2018-05-22,2413.4968865931423
2018-05-23,2465.41526388667
2018-05-24,2521.471643351139
2018-05-25,2484.0644504559473
2018-05-28,2444.5824229969617
2018-05-29,2470.9330007437725
2018-05-30,2445.179438712263
2018-05-31,2454.0360400629743
2018-06-01,2415.940866336032
2018-06-04,2447.816616170292
